"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ql-2",,,,"User:","qlio"
"Cmdline:","dstat -t -c -m --output w96c100.csv",,,,"Date:","08 Jan 2012 03:54:43 PST"

"system","total cpu usage",,,,,,"memory usage",,,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
08-01 03:54:43,0.320,0.022,99.653,0.000,0.000,0.005,4521811968.0,321888256.0,1674997760.0,18807566336.0
08-01 03:54:44,95.500,3.417,0.0,0.0,0.0,1.083,4730851328.0,321888256.0,1675001856.0,18598522880.0
08-01 03:54:45,93.667,5.583,0.0,0.0,0.0,0.750,5429805056.0,321888256.0,1675001856.0,17899569152.0
08-01 03:54:46,96.917,2.250,0.0,0.0,0.0,0.833,5592354816.0,321888256.0,1675001856.0,17737019392.0
08-01 03:54:47,97.083,2.0,0.0,0.0,0.0,0.917,5635325952.0,321888256.0,1675001856.0,17694048256.0
08-01 03:54:48,97.833,1.500,0.0,0.0,0.0,0.667,5657378816.0,321888256.0,1675001856.0,17671995392.0
08-01 03:54:49,96.500,3.0,0.0,0.0,0.0,0.500,5851877376.0,321888256.0,1675001856.0,17477496832.0
08-01 03:54:50,93.083,6.250,0.0,0.0,0.0,0.667,6523920384.0,321888256.0,1675001856.0,16805453824.0
08-01 03:54:51,95.250,3.833,0.0,0.0,0.0,0.917,7050407936.0,321888256.0,1675001856.0,16278966272.0
08-01 03:54:52,96.083,2.750,0.0,0.0,0.0,1.167,7176761344.0,321888256.0,1675001856.0,16152612864.0
08-01 03:54:53,96.833,1.667,0.0,0.0,0.0,1.500,7214170112.0,321888256.0,1675001856.0,16115204096.0
08-01 03:54:54,97.167,1.417,0.0,0.0,0.0,1.417,7259205632.0,321888256.0,1675001856.0,16070168576.0
08-01 03:54:55,96.500,2.833,0.0,0.0,0.0,0.667,7262347264.0,321888256.0,1675001856.0,16067026944.0
08-01 03:54:56,97.167,1.750,0.0,0.0,0.0,1.083,7300595712.0,321888256.0,1675001856.0,16028778496.0
08-01 03:54:57,97.083,1.500,0.0,0.0,0.0,1.417,7312482304.0,321888256.0,1675001856.0,16016891904.0
08-01 03:54:58,96.833,2.0,0.0,0.0,0.0,1.167,7311994880.0,321888256.0,1675001856.0,16017379328.0
08-01 03:54:59,96.583,2.417,0.0,0.0,0.0,1.0,7329091584.0,321888256.0,1675001856.0,16000282624.0
08-01 03:55:00,97.167,1.667,0.0,0.0,0.0,1.167,7335518208.0,321888256.0,1675001856.0,15993856000.0
08-01 03:55:01,97.750,1.083,0.0,0.0,0.0,1.167,7367847936.0,321888256.0,1675001856.0,15961526272.0
08-01 03:55:02,97.417,1.250,0.0,0.0,0.0,1.333,7279759360.0,321888256.0,1675001856.0,16049614848.0
08-01 03:55:03,97.917,1.417,0.0,0.0,0.0,0.667,7222198272.0,321888256.0,1675001856.0,16107175936.0
08-01 03:55:04,96.500,2.250,0.0,0.0,0.0,1.250,7256330240.0,321888256.0,1675001856.0,16073043968.0
08-01 03:55:05,97.0,2.0,0.0,0.0,0.0,1.0,7289167872.0,321888256.0,1675001856.0,16040206336.0
08-01 03:55:06,97.167,1.417,0.0,0.0,0.0,1.417,7333187584.0,321888256.0,1675001856.0,15996186624.0
08-01 03:55:07,96.833,2.083,0.0,0.0,0.0,1.083,7291363328.0,321888256.0,1675001856.0,16038010880.0
08-01 03:55:08,97.750,1.333,0.0,0.0,0.0,0.917,7231254528.0,321888256.0,1675001856.0,16098119680.0
08-01 03:55:09,97.583,1.500,0.0,0.0,0.0,0.917,7200165888.0,321888256.0,1675001856.0,16129208320.0
08-01 03:55:10,96.333,1.833,0.0,0.0,0.0,1.833,7262961664.0,321888256.0,1675001856.0,16066412544.0
08-01 03:55:11,97.583,1.667,0.0,0.0,0.0,0.750,7304003584.0,321888256.0,1675001856.0,16025370624.0
08-01 03:55:12,96.667,1.917,0.0,0.0,0.0,1.417,7239712768.0,321888256.0,1675001856.0,16089661440.0
08-01 03:55:13,96.750,1.833,0.0,0.0,0.0,1.417,7220703232.0,321888256.0,1675001856.0,16108670976.0
08-01 03:55:14,96.833,1.833,0.0,0.0,0.0,1.333,7216029696.0,321888256.0,1675001856.0,16113344512.0
08-01 03:55:15,97.667,1.333,0.0,0.0,0.0,1.0,7237828608.0,321888256.0,1675001856.0,16091545600.0
08-01 03:55:16,97.583,1.333,0.0,0.0,0.0,1.083,7283363840.0,321888256.0,1675001856.0,16046010368.0
08-01 03:55:17,97.167,1.917,0.0,0.0,0.0,0.917,7282298880.0,321888256.0,1675001856.0,16047075328.0
08-01 03:55:18,96.833,1.917,0.0,0.0,0.0,1.250,7213555712.0,321888256.0,1675001856.0,16115818496.0
08-01 03:55:19,97.333,1.417,0.0,0.0,0.0,1.250,7221260288.0,321888256.0,1675001856.0,16108113920.0
08-01 03:55:20,97.417,1.250,0.0,0.0,0.0,1.333,7250010112.0,321888256.0,1675001856.0,16079364096.0
08-01 03:55:21,97.583,1.500,0.0,0.0,0.0,0.917,7267110912.0,321888256.0,1675001856.0,16062263296.0
08-01 03:55:22,97.750,1.083,0.0,0.0,0.0,1.167,7199641600.0,321888256.0,1675005952.0,16129728512.0
08-01 03:55:23,96.917,2.417,0.0,0.0,0.0,0.667,7142014976.0,321888256.0,1675005952.0,16187355136.0
08-01 03:55:24,97.583,1.333,0.0,0.0,0.0,1.083,7154290688.0,321888256.0,1675005952.0,16175079424.0
08-01 03:55:25,97.083,1.833,0.0,0.0,0.0,1.083,7179890688.0,321888256.0,1675005952.0,16149479424.0
08-01 03:55:26,96.583,2.333,0.0,0.0,0.0,1.083,7225171968.0,321888256.0,1675005952.0,16104198144.0
08-01 03:55:27,97.250,1.417,0.0,0.0,0.0,1.333,7265570816.0,321888256.0,1675005952.0,16063799296.0
08-01 03:55:28,97.083,2.0,0.0,0.0,0.0,0.917,7250214912.0,321888256.0,1675005952.0,16079155200.0
08-01 03:55:29,97.333,1.750,0.0,0.0,0.0,0.917,7177129984.0,321888256.0,1675005952.0,16152240128.0
08-01 03:55:30,96.917,1.917,0.0,0.0,0.0,1.167,7120711680.0,321888256.0,1675005952.0,16208658432.0
08-01 03:55:31,96.333,2.0,0.0,0.0,0.0,1.667,7165992960.0,321888256.0,1675005952.0,16163377152.0
08-01 03:55:32,96.083,2.667,0.0,0.0,0.0,1.250,7212998656.0,321888256.0,1675005952.0,16116371456.0
08-01 03:55:33,97.500,1.833,0.0,0.0,0.0,0.667,7254216704.0,321888256.0,1675005952.0,16075153408.0
08-01 03:55:34,97.167,1.917,0.0,0.0,0.0,0.917,7300124672.0,321888256.0,1675005952.0,16029245440.0
08-01 03:55:35,97.667,1.167,0.0,0.0,0.0,1.167,7317417984.0,321888256.0,1675005952.0,16011952128.0
08-01 03:55:36,97.083,1.917,0.0,0.0,0.0,1.0,7308582912.0,321888256.0,1675005952.0,16020787200.0
08-01 03:55:37,98.250,1.250,0.0,0.0,0.0,0.500,7219372032.0,321888256.0,1675005952.0,16109998080.0
08-01 03:55:38,97.167,1.667,0.0,0.0,0.0,1.167,7235338240.0,321888256.0,1675005952.0,16094031872.0
08-01 03:55:39,97.250,1.667,0.0,0.0,0.0,1.083,7265390592.0,321888256.0,1675005952.0,16063979520.0
08-01 03:55:40,97.0,1.917,0.0,0.0,0.0,1.083,7301410816.0,321888256.0,1675005952.0,16027959296.0
08-01 03:55:41,98.083,1.250,0.0,0.0,0.0,0.667,7307051008.0,321888256.0,1675005952.0,16022319104.0
08-01 03:55:42,97.0,2.083,0.0,0.0,0.0,0.917,7316779008.0,321888256.0,1675005952.0,16012591104.0
08-01 03:55:43,96.833,2.0,0.0,0.0,0.0,1.167,7309459456.0,321888256.0,1675005952.0,16019910656.0
08-01 03:55:44,96.833,1.833,0.0,0.0,0.0,1.333,7197577216.0,321888256.0,1675005952.0,16131792896.0
08-01 03:55:45,97.333,1.500,0.0,0.0,0.0,1.167,7206105088.0,321888256.0,1675005952.0,16123265024.0
08-01 03:55:46,96.917,2.083,0.0,0.0,0.0,1.0,7246434304.0,321888256.0,1675005952.0,16082935808.0
08-01 03:55:47,97.667,1.417,0.0,0.0,0.0,0.917,7241924608.0,321888256.0,1675005952.0,16087445504.0
08-01 03:55:48,96.750,2.0,0.0,0.0,0.0,1.250,7216476160.0,321888256.0,1675005952.0,16112893952.0
08-01 03:55:49,97.083,1.917,0.0,0.0,0.0,1.0,7207284736.0,321888256.0,1675005952.0,16122085376.0
08-01 03:55:50,96.333,2.333,0.0,0.0,0.0,1.333,7185534976.0,321888256.0,1675005952.0,16143835136.0
08-01 03:55:51,97.500,1.917,0.0,0.0,0.0,0.583,7214882816.0,321888256.0,1675005952.0,16114487296.0
08-01 03:55:52,97.0,2.0,0.0,0.0,0.0,1.0,7167692800.0,321888256.0,1675005952.0,16161677312.0
08-01 03:55:53,97.083,2.0,0.0,0.0,0.0,0.917,7182790656.0,321888256.0,1675005952.0,16146579456.0
08-01 03:55:54,97.500,1.583,0.0,0.0,0.0,0.917,7219814400.0,321888256.0,1675005952.0,16109555712.0
08-01 03:55:55,98.417,0.917,0.0,0.0,0.0,0.667,7210770432.0,321888256.0,1675005952.0,16118599680.0
08-01 03:55:56,96.583,2.167,0.0,0.0,0.0,1.250,7245262848.0,321888256.0,1675005952.0,16084107264.0
